               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12072,             0.03037,            0.028416,                   0,                   0,                   0,                   0,              0.1135,              0.0238,            0.027271,              0.0919,              0.0009,              0.0009
                   1,              0.1103,            0.029707,            0.026373,          0.00082625,             0.13462,          0.00073155,          0.00022466,              0.1027,            0.021236,            0.024542,            0.082881,           0.0018812,           0.0018812
                   2,             0.10113,             0.02794,            0.024049,           0.0014101,             0.23077,           0.0048453,           0.0009943,            0.094025,            0.020683,            0.021237,            0.073843,           0.0028426,           0.0028426
                   3,            0.095826,            0.027839,            0.020695,           0.0026763,             0.44231,            0.010079,           0.0020018,               0.095,            0.019352,            0.019281,            0.064784,           0.0037842,           0.0037842
                   4,            0.088768,            0.028523,            0.018034,           0.0050152,             0.63462,            0.032519,           0.0092873,            0.087356,             0.01889,            0.018384,            0.055706,            0.004706,            0.004706
                   5,            0.086045,            0.024769,            0.017931,           0.0061799,                0.75,             0.14804,            0.035355,            0.079959,            0.018639,            0.016534,            0.046608,           0.0056079,           0.0056079
                   6,            0.083097,            0.027096,            0.017054,              0.0186,             0.21154,            0.054851,            0.014012,            0.076986,            0.017946,            0.015045,             0.03749,           0.0064901,           0.0064901
                   7,             0.08217,            0.024234,            0.015372,             0.89266,             0.13462,              0.2115,            0.072089,            0.088851,            0.015253,            0.012698,            0.028353,           0.0073525,           0.0073525
                   8,             0.07935,            0.025311,            0.013698,             0.72335,             0.19231,              0.1993,            0.049723,            0.081861,            0.014864,            0.011119,            0.019195,           0.0081951,           0.0081951
                   9,            0.078525,            0.024312,            0.011394,             0.78182,                0.25,             0.28602,            0.082512,            0.075301,             0.01436,           0.0088272,            0.010018,           0.0090179,           0.0090179
                  10,            0.078917,            0.021478,             0.01149,              0.3373,             0.38631,             0.33233,            0.087431,            0.083631,            0.011797,           0.0075897,             0.00901,             0.00901,             0.00901
                  11,            0.077991,            0.020455,           0.0086928,             0.48348,             0.59034,             0.41047,             0.12906,            0.072147,            0.012518,            0.007991,             0.00901,             0.00901,             0.00901
                  12,            0.076251,             0.01778,           0.0087223,             0.45967,             0.48077,             0.38814,             0.11792,             0.06909,            0.012688,           0.0067963,            0.008911,            0.008911,            0.008911
                  13,            0.072284,            0.020043,           0.0087292,             0.46509,             0.55769,             0.41566,                0.14,            0.074027,            0.011395,           0.0057953,            0.008812,            0.008812,            0.008812
                  14,            0.072832,            0.016972,           0.0073433,             0.54537,             0.55769,               0.503,             0.19455,            0.072053,            0.011246,           0.0054825,            0.008713,            0.008713,            0.008713
                  15,             0.06888,            0.018963,           0.0067822,             0.42787,             0.55769,             0.53093,             0.22825,            0.071207,            0.011621,           0.0056023,            0.008614,            0.008614,            0.008614
                  16,            0.067695,            0.017686,           0.0058512,             0.54407,             0.48077,             0.48563,             0.16689,            0.065935,            0.011707,           0.0055206,            0.008515,            0.008515,            0.008515
                  17,            0.064235,            0.017665,            0.006104,             0.47466,             0.46154,             0.47129,             0.18474,              0.0628,             0.01178,           0.0050758,            0.008416,            0.008416,            0.008416
                  18,            0.061056,            0.016331,           0.0056265,             0.58219,              0.5341,             0.61219,             0.26884,            0.061276,            0.010979,           0.0043884,            0.008317,            0.008317,            0.008317
                  19,            0.057866,            0.016352,           0.0053142,             0.42235,             0.55769,             0.43313,             0.18818,            0.060418,            0.011669,           0.0047096,            0.008218,            0.008218,            0.008218
                  20,            0.059877,            0.014634,           0.0055777,             0.51087,             0.44231,             0.48865,              0.1937,            0.059142,            0.011436,           0.0046051,            0.008119,            0.008119,            0.008119
                  21,            0.059652,            0.013889,            0.005747,             0.59767,             0.61193,             0.62261,             0.22662,            0.055411,            0.010252,           0.0039871,             0.00802,             0.00802,             0.00802
                  22,            0.058046,            0.014619,           0.0049291,             0.76016,             0.51155,             0.62931,             0.24151,            0.055039,            0.010117,           0.0041962,            0.007921,            0.007921,            0.007921
                  23,            0.059022,            0.015392,           0.0046949,             0.58628,             0.71154,             0.74419,             0.31173,            0.049515,            0.010311,           0.0039566,            0.007822,            0.007822,            0.007822
